title,content,text,category,sentiment,source,url,date,scraped_at,text_length,quality_score,service_relevance
CBS_Nepal - Census Report: Agriculture Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Agriculture Census Analysis 2024 Statistical analysis completed.,agriculture,neutral,CBS_Nepal,https://cbs.nepal/report/1,2025-09-07T23:18:05.320312,2025-11-24T23:18:05.320325,31,0.9739104491625464,0.931300929311773
CBS_Nepal - Census Report: Agriculture Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Agriculture Census Analysis 2024 Statistical analysis completed.,agriculture,neutral,CBS_Nepal,https://cbs.nepal/report/2,2025-11-07T23:18:05.320349,2025-11-24T23:18:05.320356,31,0.9595716140947668,0.9479974837425593
CBS_Nepal - Census Report: Infrastructure Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Infrastructure Census Analysis 2024 Statistical analysis completed.,infrastructure,neutral,CBS_Nepal,https://cbs.nepal/report/3,2025-07-28T23:18:05.320373,2025-11-24T23:18:05.320379,31,0.8947852173717148,0.9034078165155096
CBS_Nepal - Census Report: Infrastructure Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Infrastructure Census Analysis 2024 Statistical analysis completed.,infrastructure,neutral,CBS_Nepal,https://cbs.nepal/report/4,2025-04-16T23:18:05.320395,2025-11-24T23:18:05.320401,31,0.9164709150744303,0.9105786328820801
CBS_Nepal - Census Report: Employment Census Analysis 2024,Labor force data indicates substantial growth. 86412 employed persons across 19 sectors. Unemployment rate stands at 90%.,CBS_Nepal Census Report Employment Census Analysis 2024 Labor force data indicates substantial growth. 86412 employed persons across 19 sectors. Unemployment rate stands at 90%.,employment,neutral,CBS_Nepal,https://cbs.nepal/report/5,2024-12-03T23:18:05.320418,2025-11-24T23:18:05.320424,121,0.9629202402338917,0.9389924787210492
CBS_Nepal - Census Report: Social_Welfare Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Social_Welfare Census Analysis 2024 Statistical analysis completed.,social_welfare,neutral,CBS_Nepal,https://cbs.nepal/report/6,2025-10-13T23:18:05.320438,2025-11-24T23:18:05.320444,31,0.8514058935327888,0.9780280640343373
CBS_Nepal - Census Report: Agriculture Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Agriculture Census Analysis 2024 Statistical analysis completed.,agriculture,neutral,CBS_Nepal,https://cbs.nepal/report/7,2025-03-22T23:18:05.320458,2025-11-24T23:18:05.320463,31,0.8593038643389945,0.9732536488852195
CBS_Nepal - Census Report: Governance Census Analysis 2024,Administrative efficiency metrics show substantial performance. 51026 service centers serve 611360 citizens. Digital adoption at 66%.,CBS_Nepal Census Report Governance Census Analysis 2024 Administrative efficiency metrics show substantial performance. 51026 service centers serve 611360 citizens. Digital adoption at 66%.,governance,neutral,CBS_Nepal,https://cbs.nepal/report/8,2025-09-25T23:18:05.320479,2025-11-24T23:18:05.320484,133,0.9041210279780941,0.9590948828095334
CBS_Nepal - Census Report: Infrastructure Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Infrastructure Census Analysis 2024 Statistical analysis completed.,infrastructure,neutral,CBS_Nepal,https://cbs.nepal/report/9,2025-04-19T23:18:05.320496,2025-11-24T23:18:05.320501,31,0.9672006614831284,0.9181864623160965
CBS_Nepal - Census Report: Agriculture Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Agriculture Census Analysis 2024 Statistical analysis completed.,agriculture,neutral,CBS_Nepal,https://cbs.nepal/report/10,2025-08-28T23:18:05.320514,2025-11-24T23:18:05.320519,31,0.9076226474588147,0.9479124318549037
CBS_Nepal - Census Report: Employment Census Analysis 2024,Labor force data indicates substantial growth. 17080 employed persons across 7 sectors. Unemployment rate stands at 52%.,CBS_Nepal Census Report Employment Census Analysis 2024 Labor force data indicates substantial growth. 17080 employed persons across 7 sectors. Unemployment rate stands at 52%.,employment,neutral,CBS_Nepal,https://cbs.nepal/report/11,2025-07-29T23:18:05.320535,2025-11-24T23:18:05.320541,120,0.900991066174812,0.9231737910282076
CBS_Nepal - Census Report: Infrastructure Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Infrastructure Census Analysis 2024 Statistical analysis completed.,infrastructure,neutral,CBS_Nepal,https://cbs.nepal/report/12,2025-03-06T23:18:05.320555,2025-11-24T23:18:05.320561,31,0.8646577573172176,0.9190799881261861
CBS_Nepal - Census Report: Social_Welfare Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Social_Welfare Census Analysis 2024 Statistical analysis completed.,social_welfare,neutral,CBS_Nepal,https://cbs.nepal/report/13,2025-09-19T23:18:05.320573,2025-11-24T23:18:05.320578,31,0.9467437156461448,0.9844254290718107
CBS_Nepal - Census Report: Social_Welfare Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Social_Welfare Census Analysis 2024 Statistical analysis completed.,social_welfare,neutral,CBS_Nepal,https://cbs.nepal/report/14,2025-06-24T23:18:05.320590,2025-11-24T23:18:05.320594,31,0.900424118383592,0.9108846256648159
CBS_Nepal - Census Report: Health Census Analysis 2024,"Population health indicators show substantial improvement. 88192 health facilities serve 1051228 population. Maternal mortality rate at 50 per 100,000 births.","CBS_Nepal Census Report Health Census Analysis 2024 Population health indicators show substantial improvement. 88192 health facilities serve 1051228 population. Maternal mortality rate at 50 per 100,000 births.",health,neutral,CBS_Nepal,https://cbs.nepal/report/15,2025-09-16T23:18:05.320609,2025-11-24T23:18:05.320614,158,0.8989655619161098,0.9459088662120199
CBS_Nepal - Census Report: Agriculture Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Agriculture Census Analysis 2024 Statistical analysis completed.,agriculture,neutral,CBS_Nepal,https://cbs.nepal/report/16,2025-04-03T23:18:05.320627,2025-11-24T23:18:05.320632,31,0.8960157500658275,0.9768580967038996
CBS_Nepal - Census Report: Education Census Analysis 2024,Education statistics reveal significant progress. 12380 schools educate 3046567 students. Literacy rate achieved 66% in target areas.,CBS_Nepal Census Report Education Census Analysis 2024 Education statistics reveal significant progress. 12380 schools educate 3046567 students. Literacy rate achieved 66% in target areas.,education,neutral,CBS_Nepal,https://cbs.nepal/report/17,2025-06-27T23:18:05.320647,2025-11-24T23:18:05.320652,133,0.9565187481304628,0.9245899238825146
CBS_Nepal - Census Report: Social_Welfare Census Analysis 2024,Statistical analysis completed.,CBS_Nepal Census Report Social_Welfare Census Analysis 2024 Statistical analysis completed.,social_welfare,neutral,CBS_Nepal,https://cbs.nepal/report/18,2025-05-20T23:18:05.320664,2025-11-24T23:18:05.320669,31,0.8800579103281746,0.9086893369424339
